CityName,Date,No_of_complain_received,No_of_complain_disposed,No_of_complain_pending
Surat,06/01/2020,64,456,1508
Surat,23/01/2020,39,441,1457
Surat,25/01/2020,35,357,1496
Surat,26/01/2020,19,131,1494
Surat,31/01/2020,79,382,1585
Surat,09/02/2020,31,123,1497
Surat,15/02/2020,65,379,1664
Surat,25/02/2020,69,554,1743
Surat,27/02/2020,23,415,1525
Surat,28/02/2020,79,417,1573
Surat,06/03/2020,93,520,1833
Surat,10/03/2020,26,138,1789
Surat,12/03/2020,74,603,1759
Surat,13/03/2020,88,550,1794
Surat,15/03/2020,39,161,1783
Surat,17/03/2020,88,536,1845
Surat,25/03/2020,20,597,1849
Surat,07/04/2020,19,398,1867
Surat,13/04/2020,18,354,1913
Surat,16/04/2020,18,293,1924
Surat,13/05/2020,30,262,2113
Surat,14/05/2020,30,254,2138
Surat,16/05/2020,34,238,2174
Surat,23/05/2020,50,313,2310
Surat,30/05/2020,40,361,1886
Surat,31/05/2020,25,184,1898
Surat,06/06/2020,51,466,1880
Surat,07/06/2020,65,217,1920
Surat,18/06/2020,78,612,2218
Surat,20/06/2020,56,505,2240
Surat,21/06/2020,38,244,2226
Surat,24/06/2020,68,486,2351
Surat,29/06/2020,75,490,2322
Surat,02/07/2020,98,474,2431
Surat,25/07/2020,64,393,3061
Surat,28/07/2020,108,446,3285
Surat,05/08/2020,114,439,3283
Surat,07/08/2020,100,440,3411
Surat,08/08/2020,118,551,3431
Surat,09/08/2020,96,184,3487
Surat,11/08/2020,101,430,3328
Surat,12/08/2020,85,309,3217
Surat,19/08/2020,185,658,3702
Surat,27/08/2020,105,695,3409
Surat,28/08/2020,118,680,3402
Surat,04/09/2020,138,629,3718
Surat,05/09/2020,141,710,3760
Surat,09/09/2020,140,574,3861
Surat,13/09/2020,118,224,4112
Surat,25/09/2020,119,588,4090
Surat,26/09/2020,118,452,4037
Surat,06/10/2020,148,488,4244
Surat,17/10/2020,131,478,4263
Surat,18/10/2020,87,217,4319
Surat,23/10/2020,130,486,4459
Surat,27/10/2020,165,511,4691
Surat,28/10/2020,179,515,4768
Surat,10/11/2020,126,575,4804
Surat,15/11/2020,58,147,4803
Surat,24/11/2020,113,415,4925
Surat,02/12/2020,101,454,4885
Surat,07/12/2020,122,499,4874
Surat,13/12/2020,74,165,4627
Surat,16/12/2020,98,516,4632
Surat,17/12/2020,109,447,4667
Surat,21/12/2020,181,558,4981
Surat,30/12/2020,95,374,5028
Surat,07/01/2021,107,387,5412
Surat,20/01/2021,193,434,5858
Surat,31/01/2021,57,260,5494
Surat,02/02/2021,100,641,5126
Surat,05/02/2021,109,681,4441
Surat,18/02/2021,81,526,2877
Surat,26/02/2021,93,733,2562
Surat,27/02/2021,86,602,2477
Surat,01/03/2021,107,603,2526
Surat,02/03/2021,129,783,2290
Surat,08/03/2021,161,898,2446
Surat,12/03/2021,102,758,2413
Surat,18/03/2021,107,720,2519
Surat,19/03/2021,127,779,2591
Surat,21/03/2021,64,286,2670
Surat,23/03/2021,152,734,2883
Surat,27/03/2021,79,415,2829
Surat,03/04/2021,134,692,2863
Surat,10/04/2021,93,486,3351
Surat,12/04/2021,113,680,3313
Surat,14/04/2021,75,326,3249
Surat,22/04/2021,115,504,3489
Surat,24/04/2021,228,513,3678
Surat,25/04/2021,154,241,3794
Surat,06/05/2021,72,621,3773
Surat,09/05/2021,61,236,3877
Surat,19/05/2021,276,774,4359
Surat,24/05/2021,220,1097,4463
Surat,26/05/2021,203,729,4559
Surat,31/05/2021,156,603,4510
Surat,07/06/2021,200,749,4539
Surat,01/07/2021,180,587,4404
Surat,03/07/2021,171,598,4480
Surat,04/07/2021,53,225,4513
Surat,05/07/2021,160,691,4548
Surat,12/07/2021,147,570,4486
Surat,17/07/2021,167,597,4603
Surat,20/07/2021,196,669,4776
Surat,29/07/2021,194,675,4835
Surat,01/08/2021,86,268,4989
Surat,03/08/2021,173,779,4974
Surat,20/08/2021,135,417,3498
Surat,22/08/2021,76,213,3520
Surat,23/08/2021,183,651,3689
Surat,24/08/2021,190,857,3727
Surat,28/08/2021,93,675,3508
Surat,29/08/2021,98,223,3588
Surat,02/09/2021,116,787,3510
Surat,06/09/2021,185,871,3908
Surat,07/09/2021,168,760,3837
Surat,11/09/2021,112,636,3879
Surat,12/09/2021,87,219,3896
Surat,14/09/2021,212,939,4090
Surat,25/09/2021,141,734,3754
Surat,04/10/2021,172,980,4105
Surat,06/10/2021,221,752,4180
Surat,07/10/2021,179,825,4258
Surat,08/10/2021,145,779,4353
Surat,18/10/2021,160,756,4589
Surat,21/10/2021,170,687,4604
Surat,22/10/2021,177,625,4635
Surat,26/10/2021,150,603,4438
Surat,06/11/2021,73,244,4905
Surat,27/11/2021,81,506,4632
Surat,06/12/2021,194,728,4914
Surat,16/12/2021,119,569,5092
Surat,20/12/2021,188,599,5310
Surat,22/12/2021,138,593,5281
Surat,15/01/2022,92,479,6593
Surat,21/01/2022,184,601,6687
Surat,25/01/2022,226,631,6944
Surat,26/01/2022,198,311,6559
Surat,30/01/2022,98,196,7135
Surat,31/01/2022,219,613,7045
Surat,12/02/2022,124,487,6075
Surat,18/02/2022,271,587,6223
Surat,24/02/2022,194,595,6587
Surat,25/02/2022,227,629,6692
Surat,12/03/2022,183,531,7421
Surat,13/03/2022,139,149,7509
Surat,15/03/2022,227,672,7585
Surat,22/03/2022,191,802,7851
Surat,05/04/2022,177,768,8336
Surat,07/04/2022,236,583,8621
Surat,10/04/2022,108,211,8865
Surat,12/04/2022,314,611,9119
Surat,15/04/2022,166,572,8938
Surat,17/04/2022,126,334,9068
Surat,30/04/2022,203,606,8917
Surat,06/05/2022,176,603,8565
Surat,11/05/2022,195,738,8444
Surat,19/05/2022,114,636,7015
Surat,21/05/2022,180,682,6998
Surat,23/05/2022,248,816,7208
Surat,24/05/2022,229,977,7319
Surat,31/05/2022,225,573,7353
Surat,03/06/2022,185,687,6075
Surat,04/06/2022,142,811,6010
Surat,05/06/2022,78,285,6069
Surat,06/06/2022,166,817,6087
Surat,08/06/2022,189,734,6093
Surat,20/06/2022,261,1274,5361
Surat,21/06/2022,209,1201,5333
Surat,25/06/2022,154,739,5221
Surat,26/06/2022,104,366,5170
Surat,27/06/2022,209,1218,5292
Surat,02/07/2022,141,1013,4713
Surat,03/07/2022,125,429,4800
Surat,11/07/2022,159,1223,3873
Surat,13/07/2022,71,1131,3063
Surat,18/07/2022,124,1510,3095
Surat,19/07/2022,132,1480,3145
Surat,22/07/2022,82,1021,2923
Surat,28/07/2022,122,1288,3196
Surat,30/07/2022,119,728,3230
Surat,31/07/2022,54,326,3266
Surat,01/08/2022,127,930,3253
Surat,07/08/2022,54,263,3313
Surat,09/08/2022,123,552,3595
Surat,14/08/2022,66,364,3566
Surat,28/08/2022,96,301,3503
Surat,08/09/2022,139,561,3585
Surat,09/09/2022,42,307,3515
Surat,12/09/2022,161,1002,3699
Surat,13/09/2022,103,972,3629
Surat,23/09/2022,147,589,4272
Surat,28/09/2022,216,780,4083
Surat,01/10/2022,143,793,4153
Surat,10/10/2022,123,804,4019
Surat,21/10/2022,149,754,4692
Surat,27/10/2022,63,682,4290
Surat,29/10/2022,85,567,4175
Surat,11/11/2022,103,701,4175
Surat,23/11/2022,210,817,4571
Surat,24/11/2022,175,770,4709
Surat,29/11/2022,176,987,4860
Surat,01/12/2022,67,259,4127
Surat,04/12/2022,134,549,4121
Surat,15/12/2022,168,836,4382
Surat,16/12/2022,193,716,4388
Surat,19/12/2022,205,853,4625
Surat,25/12/2022,97,257,4793
Surat,29/12/2022,171,790,4718
Surat,03/01/2023,228,924,4888
Surat,06/01/2023,159,964,4902
Surat,08/01/2023,106,452,5069
Surat,09/01/2023,211,1017,5074
Surat,12/01/2023,179,762,5018
Surat,14/01/2023,64,208,4633
Surat,17/01/2023,172,954,4548
Surat,21/01/2023,172,797,4619
Surat,31/01/2023,199,849,4394
Surat,01/02/2023,179,765,4305
Surat,07/02/2023,162,908,4630
Surat,11/02/2023,121,666,4611
Surat,18/02/2023,128,469,4632
Surat,24/02/2023,194,893,4840
Surat,10/03/2023,116,1049,4415
Surat,15/03/2023,181,971,4509
Surat,19/03/2023,115,360,4822
Surat,22/03/2023,151,742,4650
Surat,31/03/2023,204,736,4855
Surat,03/04/2023,298,964,5229
Surat,05/04/2023,236,844,5072
Surat,17/04/2023,216,957,4941
Surat,25/04/2023,201,956,5016
Surat,26/04/2023,254,924,5124
Surat,29/04/2023,161,612,5230
Surat,02/05/2023,188,788,5525
Surat,05/05/2023,170,605,5412
Surat,06/05/2023,155,706,5453
Surat,07/05/2023,111,229,5549
Surat,12/05/2023,182,724,5064
Surat,13/05/2023,152,564,4998
Surat,29/05/2023,286,750,5673
Surat,30/05/2023,293,694,5646
Surat,03/06/2023,166,719,5249
Surat,04/06/2023,133,229,5320
Surat,13/06/2023,345,921,5804
Surat,22/06/2023,255,1137,6161
Surat,26/06/2023,401,1050,6225
Surat,04/07/2023,271,1591,5961
Surat,09/07/2023,167,534,5735
Surat,11/07/2023,277,1216,5739
Surat,12/07/2023,257,1354,5662
Surat,28/07/2023,265,1009,6162
Surat,30/07/2023,151,522,6021
Surat,31/07/2023,268,1295,6073
Surat,01/08/2023,196,1022,6096
Surat,25/08/2023,282,765,6494
Surat,01/09/2023,290,699,6315
Surat,06/09/2023,237,865,6648
Surat,08/09/2023,253,663,6626
Surat,12/09/2023,256,1043,6702
Surat,21/09/2023,300,1051,7306
Surat,22/09/2023,355,1048,7465
Surat,01/10/2023,181,456,7518
Surat,02/10/2023,219,872,7334
Surat,04/10/2023,263,1078,7062
Surat,05/10/2023,289,1073,6917
Surat,12/10/2023,290,891,7216
Surat,14/10/2023,183,610,7274
Surat,21/10/2023,300,829,8010
Surat,30/10/2023,276,1120,7406
Surat,07/11/2023,243,906,7657
Surat,10/11/2023,207,804,7727
Surat,16/11/2023,110,777,6489
Surat,21/11/2023,147,903,5361
Surat,22/11/2023,153,772,5111
Surat,30/11/2023,183,869,4795
Surat,01/12/2023,134,847,4791
Surat,05/12/2023,229,920,5224
Surat,16/12/2023,173,825,4968
Surat,26/12/2023,240,882,4725
Surat,27/12/2023,164,828,4662
Surat,30/12/2023,196,769,4751
Surat,01/01/2024,180,951,4562
Surat,06/01/2024,138,658,4600
Surat,08/01/2024,195,972,4605
Surat,10/01/2024,175,772,4483
Surat,12/01/2024,233,794,4510
Surat,15/01/2024,118,705,4444
Surat,16/01/2024,171,917,4391
Surat,19/01/2024,170,758,4445
Surat,24/01/2024,219,632,4807
Surat,30/01/2024,239,786,5045
Surat,01/02/2024,192,783,5025
Surat,06/02/2024,252,860,5262
Surat,12/02/2024,264,810,5424
Surat,20/02/2024,235,839,5738
Surat,21/02/2024,221,630,5702
Surat,24/02/2024,133,725,5113
Surat,25/02/2024,97,265,5010
Surat,27/02/2024,210,807,5154
Surat,06/03/2024,197,640,5242
Surat,16/03/2024,228,971,4701
Surat,21/03/2024,308,849,5466
Surat,26/03/2024,155,590,5067
Surat,30/03/2024,213,896,4743
Surat,31/03/2024,105,303,4610
Surat,05/04/2024,223,766,4722
Surat,07/04/2024,130,280,4809
Surat,11/04/2024,157,468,5015
Surat,19/04/2024,190,624,4679
Surat,23/04/2024,165,694,4719
Surat,24/04/2024,254,679,4885
Surat,29/04/2024,200,794,5079
Surat,07/05/2024,203,237,5652
Surat,08/05/2024,269,574,5762
Surat,16/05/2024,263,746,5612
Surat,17/05/2024,230,614,5464
Surat,22/05/2024,210,605,5857
Surat,26/05/2024,161,336,5677
Surat,28/05/2024,347,802,5811
Surat,30/05/2024,304,797,6102
Surat,03/06/2024,338,798,6558
Surat,06/06/2024,291,704,6516
Surat,20/06/2024,321,926,7462
Surat,28/06/2024,423,963,8339
Surat,05/07/2024,470,1346,9057
Surat,15/07/2024,324,1509,9173
Surat,17/07/2024,288,889,9350
Surat,24/07/2024,269,1185,8377
Surat,25/07/2024,285,1411,8005
Surat,31/07/2024,337,1363,7797
Surat,04/08/2024,206,519,8150
Surat,06/08/2024,352,1293,8396
Surat,07/08/2024,380,1140,8485
Surat,15/08/2024,181,424,8642
Surat,16/08/2024,374,1143,8620
Surat,20/08/2024,350,1001,9033
Surat,30/08/2024,414,1163,9230
Surat,04/09/2024,468,886,9722
Surat,05/09/2024,423,799,9811
Surat,06/09/2024,299,903,9695
Surat,09/09/2024,302,1128,10138
Surat,11/09/2024,431,839,10744
Surat,16/09/2024,245,642,10708
Surat,22/09/2024,254,379,10216
Surat,25/09/2024,329,909,10483
Surat,29/09/2024,243,359,10514
Surat,08/10/2024,302,1095,10243
Surat,11/10/2024,210,766,10032
Surat,19/10/2024,327,754,10023
Surat,20/10/2024,183,412,10084
Surat,22/10/2024,332,982,10400
Surat,28/10/2024,273,889,11188
Surat,02/11/2024,74,79,10241
Surat,05/11/2024,149,618,10055
Surat,08/11/2024,196,652,9796
Surat,16/11/2024,199,636,9451
Surat,29/11/2024,230,627,8662
Surat,10/12/2024,188,734,8372
Surat,14/12/2024,150,569,8316
Surat,16/12/2024,273,784,8484
Surat,04/01/2025,183,724,8419
Surat,10/01/2025,281,654,8906
Surat,21/01/2025,244,814,9024
Surat,28/01/2025,283,716,9237
Surat,30/01/2025,370,664,9528
Surat,02/02/2025,110,198,9282
Surat,16/02/2025,129,248,8682
Surat,17/02/2025,199,737,8829
Surat,23/02/2025,123,265,8903
Surat,24/02/2025,215,786,9056
Surat,26/02/2025,159,374,8982
Surat,27/02/2025,231,838,9032
Surat,04/03/2025,176,728,9084
Surat,16/03/2025,168,385,8784
Surat,17/03/2025,233,1082,8977
Surat,25/03/2025,247,799,8953
Surat,26/03/2025,164,734,8898
Surat,28/03/2025,172,706,8829
Surat,31/03/2025,128,573,8870
Surat,01/04/2025,169,644,8752
Surat,05/04/2025,169,645,8801
Surat,07/04/2025,207,744,8888
Surat,09/04/2025,205,633,8973
Surat,17/04/2025,233,632,8902
Surat,18/04/2025,139,564,8660
Surat,19/04/2025,272,647,8717
Surat,03/05/2025,140,710,8232
Surat,06/05/2025,273,665,8395
Surat,16/05/2025,162,499,7576
Surat,23/05/2025,257,688,7764
Surat,28/05/2025,248,769,7548
Surat,07/06/2025,171,500,7372
Surat,14/06/2025,172,570,7402
Surat,22/06/2025,206,420,8213
Surat,23/06/2025,431,611,8603
Surat,25/06/2025,309,1522,8296
Surat,27/06/2025,232,1307,8280
Surat,02/07/2025,337,1305,8744
Surat,09/07/2025,203,1237,8116
Surat,11/07/2025,214,1025,7359
Surat,13/07/2025,124,400,6770
Surat,18/07/2025,169,1038,6256
Surat,24/07/2025,197,984,6082
Surat,28/07/2025,179,1006,6117
Surat,31/07/2025,221,811,6115
Surat,08/08/2025,148,860,6241
Surat,11/08/2025,239,931,6634
Surat,17/08/2025,96,332,6443
Surat,22/08/2025,214,904,6981
Surat,28/08/2025,136,1099,6517
Surat,01/09/2025,272,1134,6992
Surat,02/09/2025,265,1179,7017
Surat,09/09/2025,487,1242,8237
Surat,10/09/2025,721,1022,8958
Surat,02/08/2021,206,654,5043
Surat,05/08/2021,106,655,4540
Surat,06/08/2021,110,556,4449
Surat,12/08/2021,126,539,3966
Surat,15/08/2021,67,174,3882
Surat,18/08/2021,110,604,3642
Surat,26/08/2021,210,739,3635
Surat,27/08/2021,149,735,3571
Surat,03/09/2021,168,679,3627
Surat,08/09/2021,217,803,3899
Surat,10/09/2021,129,351,3979
Surat,13/09/2021,191,870,4009
Surat,15/09/2021,238,644,3882
Surat,19/09/2021,60,273,3965
Surat,23/09/2021,137,874,3609
Surat,28/09/2021,202,890,3853
Surat,01/10/2021,189,665,4026
Surat,03/10/2021,118,297,4110
Surat,19/10/2021,122,639,4604
Surat,20/10/2021,257,666,4642
Surat,23/10/2021,124,610,4527
Surat,24/10/2021,99,280,4485
Surat,25/10/2021,141,796,4492
Surat,30/10/2021,202,564,4787
Surat,01/11/2021,246,654,4992
Surat,03/11/2021,137,616,5089
Surat,12/11/2021,92,499,4587
Surat,14/11/2021,28,78,4562
Surat,16/11/2021,183,555,4540
Surat,22/11/2021,202,688,4929
Surat,24/11/2021,134,707,4970
Surat,26/11/2021,146,499,4813
Surat,28/11/2021,79,167,4652
Surat,30/11/2021,146,514,4735
Surat,07/12/2021,175,727,4954
Surat,10/12/2021,201,560,5166
Surat,17/12/2021,185,537,5160
Surat,21/12/2021,152,510,5277
Surat,26/12/2021,133,215,5613
Surat,07/01/2022,284,583,6557
Surat,09/01/2022,147,206,6736
Surat,10/01/2022,269,721,6894
Surat,12/01/2022,149,585,6634
Surat,17/01/2022,183,842,6749
Surat,20/01/2022,170,743,6782
Surat,06/02/2022,105,202,6464
Surat,09/02/2022,184,999,6286
Surat,17/02/2022,199,668,6082
Surat,23/02/2022,237,748,6542
Surat,01/03/2022,148,365,6794
Surat,02/03/2022,194,719,6731
Surat,14/03/2022,271,868,7605
Surat,16/03/2022,239,792,7648
Surat,28/03/2022,251,810,8387
Surat,31/03/2022,242,623,8154
Surat,06/04/2022,219,836,8450
Surat,08/04/2022,232,579,8834
Surat,25/04/2022,265,830,8975
Surat,04/05/2022,215,754,8470
Surat,07/05/2022,179,791,8670
Surat,10/05/2022,130,670,8392
Surat,26/05/2022,221,729,7378
Surat,14/06/2022,156,874,5839
Surat,18/06/2022,162,853,5214
Surat,19/06/2022,121,284,5319
Surat,24/06/2022,163,921,5318
Surat,04/07/2022,173,1207,4728
Surat,06/07/2022,143,1560,3823
Surat,07/07/2022,154,931,3879
Surat,09/07/2022,93,923,3888
Surat,10/07/2022,97,414,3895
Surat,12/07/2022,81,1364,3461
Surat,25/07/2022,145,1188,3061
Surat,27/07/2022,115,1064,3148
Surat,03/08/2022,95,736,3019
Surat,20/08/2022,105,869,3112
Surat,23/08/2022,138,1172,3259
Surat,03/09/2022,122,686,3522
Surat,05/09/2022,162,891,3669
Surat,29/09/2022,131,505,4120
Surat,03/10/2022,214,861,4320
Surat,05/10/2022,101,419,4189
Surat,06/10/2022,143,741,4150
Surat,08/10/2022,129,568,4010
Surat,20/10/2022,244,819,4641
Surat,26/10/2022,41,74,4478
Surat,28/10/2022,95,644,4241
Surat,01/11/2022,113,767,4156
Surat,04/11/2022,122,763,4126
Surat,08/11/2022,140,583,4310
Surat,19/11/2022,140,871,4230
Surat,25/11/2022,207,737,4881
Surat,03/12/2022,135,1041,4033
Surat,05/12/2022,170,1030,4165
Surat,13/12/2022,170,828,4320
Surat,28/12/2022,200,778,4789
Surat,04/01/2023,212,901,4971
Surat,07/01/2023,184,834,4974
Surat,11/01/2023,182,741,4963
Surat,22/01/2023,158,273,4706
Surat,24/01/2023,302,781,4842
Surat,25/01/2023,206,851,4902
Surat,28/01/2023,98,579,4245
Surat,09/02/2023,201,764,4715
Surat,12/02/2023,136,474,4674
Surat,17/02/2023,219,747,4639
Surat,19/02/2023,104,426,4700
Surat,27/02/2023,189,1027,4740
Surat,28/02/2023,207,945,4755
Surat,05/03/2023,122,354,4958
Surat,07/03/2023,154,758,4790
Surat,11/03/2023,172,830,4477
Surat,16/03/2023,191,988,4568
Surat,18/03/2023,192,803,4755
Surat,20/03/2023,225,934,4893
Surat,21/03/2023,122,841,4681
Surat,23/03/2023,183,824,4580
Surat,29/03/2023,259,847,4964
Surat,07/04/2023,179,606,5075
Surat,10/04/2023,243,1027,5173
Surat,12/04/2023,197,862,5033
Surat,20/04/2023,232,1134,4988
Surat,11/05/2023,221,555,5204
Surat,21/05/2023,128,400,5245
Surat,22/05/2023,261,773,5275
Surat,25/05/2023,277,648,5551
Surat,05/06/2023,219,778,5361
Surat,09/06/2023,278,782,5432
Surat,10/06/2023,170,411,5359
Surat,11/06/2023,133,274,5455
Surat,17/06/2023,310,908,5961
Surat,03/07/2023,295,1440,5992
Surat,10/07/2023,254,1434,5745
Surat,16/07/2023,135,525,5471
Surat,20/07/2023,328,1447,5730
Surat,04/08/2023,273,1054,6357
Surat,10/08/2023,323,823,7043
Surat,18/08/2023,264,773,6871
Surat,22/08/2023,294,878,6801
Surat,24/08/2023,290,652,6759
Surat,31/08/2023,222,720,6182
Surat,03/09/2023,149,258,6512
Surat,11/09/2023,259,1059,6691
Surat,17/09/2023,135,342,7154
Surat,24/09/2023,185,443,7527
Surat,26/09/2023,363,1005,7908
Surat,27/09/2023,252,868,7758
Surat,06/10/2023,290,942,6989
Surat,07/10/2023,260,829,6934
Surat,19/10/2023,320,936,7882
Surat,22/10/2023,168,489,8091
Surat,23/10/2023,254,918,8054
Surat,31/10/2023,193,650,7170
Surat,14/11/2023,64,75,7254
Surat,18/11/2023,94,593,5389
Surat,20/11/2023,87,756,5376
Surat,23/11/2023,123,998,4792
Surat,25/11/2023,204,650,4796
Surat,29/11/2023,265,822,4904
Surat,07/12/2023,165,782,5083
Surat,13/12/2023,156,828,5001
Surat,17/12/2023,89,294,5016
Surat,19/12/2023,256,1050,5321
Surat,25/12/2023,152,520,4686
Surat,28/12/2023,210,851,4677
Surat,29/12/2023,210,868,4735
Surat,31/12/2023,114,321,4741
Surat,04/01/2024,148,788,4554
Surat,20/01/2024,187,662,4567
Surat,31/01/2024,180,783,5025
Surat,05/02/2024,238,954,5203
Surat,13/02/2024,173,855,5377
Surat,17/02/2024,196,601,5578
Surat,29/02/2024,173,877,5104
Surat,02/03/2024,243,737,5374
Surat,04/03/2024,184,801,5316
Surat,09/03/2024,123,867,4989
Surat,14/03/2024,202,1171,4900
Surat,19/03/2024,306,857,5272
Surat,20/03/2024,303,927,5466
Surat,23/03/2024,234,683,5513
Surat,25/03/2024,90,207,5217
Surat,29/03/2024,157,782,4826
Surat,03/04/2024,167,720,4527
Surat,04/04/2024,226,794,4532
Surat,06/04/2024,229,743,4776
Surat,09/04/2024,231,945,4924
Surat,12/04/2024,150,745,4666
Surat,14/04/2024,92,223,4520
Surat,20/04/2024,140,647,4688
Surat,30/04/2024,198,577,5079
Surat,01/05/2024,198,535,5277
Surat,04/05/2024,252,626,5462
Surat,11/05/2024,157,529,5494
Surat,21/05/2024,219,778,5968
Surat,07/06/2024,250,762,6500
Surat,12/06/2024,243,943,6997
Surat,19/06/2024,387,822,7490
Surat,24/06/2024,335,1283,7754
Surat,25/06/2024,342,1208,7757
Surat,02/07/2024,457,1417,8716
Surat,04/07/2024,439,1304,8829
Surat,06/07/2024,491,1441,9286
Surat,07/07/2024,254,522,9310
Surat,26/07/2024,269,1420,7918
Surat,30/07/2024,348,1209,7850
Surat,03/08/2024,385,1010,8061
Surat,14/08/2024,320,1038,8855
Surat,17/08/2024,392,1084,8646
Surat,29/08/2024,439,1136,8966
Surat,03/09/2024,415,1026,9830
Surat,08/09/2024,224,527,9896
Surat,10/09/2024,372,1164,10412
Surat,14/09/2024,280,650,10565
Surat,17/09/2024,159,290,10312
Surat,20/09/2024,268,930,10143
Surat,23/09/2024,303,1212,10477
Surat,27/09/2024,331,776,10591
Surat,30/09/2024,392,999,10712
Surat,01/10/2024,374,934,10781
Surat,03/10/2024,317,1168,10200
Surat,05/10/2024,237,940,10061
Surat,06/10/2024,200,464,10176
Surat,10/10/2024,246,956,10056
Surat,15/10/2024,371,920,10049
Surat,23/10/2024,316,750,10371
Surat,24/10/2024,293,823,10277
Surat,26/10/2024,258,728,10751
Surat,27/10/2024,194,396,10935
Surat,03/11/2024,72,233,10096
Surat,06/11/2024,177,679,9997
Surat,17/11/2024,149,282,9516
Surat,07/12/2024,240,728,8347
Surat,08/12/2024,159,218,8272
Surat,12/12/2024,178,667,8348
Surat,15/12/2024,115,223,8316
Surat,17/12/2024,243,726,8381
Surat,26/12/2024,324,716,8944
Surat,07/01/2025,238,635,8533
Surat,08/01/2025,267,709,8791
Surat,12/01/2025,174,284,8641
Surat,13/01/2025,232,817,8869
Surat,15/01/2025,159,554,8699
Surat,17/01/2025,173,759,8680
Surat,22/01/2025,261,819,9103
Surat,25/01/2025,172,502,9034
Surat,29/01/2025,371,819,9288
Surat,07/02/2025,223,503,8877
Surat,18/02/2025,293,676,8879
Surat,20/02/2025,219,565,9150
Surat,02/03/2025,147,304,8950
Surat,07/03/2025,142,719,8924
Surat,10/03/2025,214,864,9096
Surat,13/03/2025,187,582,8932
Surat,19/03/2025,195,986,8727
Surat,30/03/2025,123,281,8770
Surat,03/04/2025,203,652,8786
Surat,06/04/2025,134,229,8713
Surat,14/04/2025,143,384,8942
Surat,11/05/2025,85,266,7656
Surat,13/05/2025,159,796,7712
Surat,15/05/2025,127,644,7566
Surat,31/05/2025,218,739,7476
Surat,05/06/2025,195,723,7520
Surat,11/06/2025,239,695,7463
Surat,12/06/2025,206,794,7441
Surat,16/06/2025,416,1087,7704
Surat,21/06/2025,244,1044,8244
Surat,29/06/2025,225,557,8400
Surat,01/07/2025,364,1296,8748
Surat,05/07/2025,285,936,8736
Surat,07/07/2025,327,1389,9076
Surat,10/07/2025,218,1058,7388
Surat,17/07/2025,145,845,6449
Surat,23/07/2025,232,823,6129
Surat,27/07/2025,133,346,5939
Surat,24/08/2025,175,450,7076
Surat,05/09/2025,189,696,7020
Surat,08/09/2025,383,1391,7750
Surat,11/07/2017,0,631,1146
Surat,13/07/2017,1,503,1148
Surat,20/07/2017,0,526,1149
Surat,23/07/2017,0,104,1150
Surat,27/07/2017,2,673,1156
Surat,29/07/2017,0,620,1158
Surat,01/08/2017,0,618,1165
Surat,04/08/2017,0,671,1166
Surat,08/08/2017,1,808,1167
Surat,13/08/2017,3,139,1172
Surat,18/08/2017,2,658,1176
Surat,20/08/2017,3,185,1180
Surat,24/08/2017,2,817,1193
Surat,29/08/2017,4,788,1213
Surat,30/08/2017,6,795,1219
Surat,03/09/2017,4,239,1243
Surat,06/09/2017,29,666,1292
Surat,07/09/2017,12,758,1304
Surat,13/09/2017,27,693,1492
Surat,17/09/2017,40,139,1579
Surat,23/09/2017,38,262,1582
Surat,28/09/2017,54,447,1680
Surat,16/10/2017,99,807,1815
Surat,18/10/2017,60,661,1735
Surat,19/10/2017,27,252,1660
Surat,29/10/2017,35,76,1582
Surat,26/11/2017,23,143,1352
Surat,04/12/2017,48,406,1443
Surat,09/12/2017,11,68,1389
Surat,11/12/2017,45,507,1440
Surat,12/12/2017,35,605,1400
Surat,16/12/2017,31,323,1375
Surat,28/12/2017,31,411,1407
Surat,01/01/2018,47,470,1449
Surat,04/01/2018,29,323,1368
Surat,07/01/2018,25,95,1424
Surat,13/01/2018,30,229,1488
Surat,20/01/2018,41,439,1427
Surat,22/01/2018,59,511,1476
Surat,25/01/2018,36,369,1492
Surat,26/01/2018,17,162,1471
Surat,31/01/2018,55,396,1532
Surat,05/02/2018,47,404,1548
Surat,14/02/2018,42,597,1391
Surat,17/02/2018,26,334,1464
Surat,20/02/2018,27,652,1428
Surat,04/03/2018,21,192,1338
Surat,09/03/2018,44,504,1341
Surat,24/03/2018,22,265,1327
Surat,01/04/2018,64,91,1458
Surat,10/04/2018,37,654,1436
Surat,21/04/2018,17,558,1331
Surat,23/04/2018,39,584,1379
Surat,24/04/2018,40,513,1390
Surat,01/05/2018,39,430,1384
Surat,03/05/2018,52,577,1393
Surat,08/05/2018,43,638,1470
Surat,09/05/2018,25,509,1387
Surat,13/05/2018,13,89,1373
Surat,15/05/2018,33,631,1356
Surat,25/05/2018,49,359,1499
Surat,26/05/2018,48,291,1522
Surat,05/06/2018,51,789,1498
Surat,06/06/2018,45,954,1458
Surat,08/06/2018,31,545,1466
Surat,17/06/2018,32,164,1516
Surat,19/06/2018,54,1011,1502
Surat,20/06/2018,44,701,1442
Surat,25/06/2018,50,943,1505
Surat,06/07/2018,37,771,1521
Surat,08/07/2018,23,299,1537
Surat,13/07/2018,44,756,1505
Surat,16/07/2018,46,1032,1525
Surat,23/07/2018,69,1154,1590
Surat,27/07/2018,34,659,1460
