ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-06-23,433.73523800000004,394.7621766683511,772.7008016624688,433.73523800000004,433.73523800000004,152.45813665264973,152.45813665264973,152.45813665264973,15.580868310138541,15.580868310138541,15.580868310138541,136.8772683425112,136.8772683425112,136.8772683425112,0.0,0.0,0.0,586.1933746526497
2017-06-24,433.754742774897,372.8618012928724,751.6472092050482,433.754742774897,433.754742774897,122.13727213930311,122.13727213930311,122.13727213930311,-22.550625849440554,-22.550625849440554,-22.550625849440554,144.68789798874366,144.68789798874366,144.68789798874366,0.0,0.0,0.0,555.8920149142001
2017-06-25,433.77424754979404,59.63349398804466,447.01284993915397,433.77424754979404,433.77424754979404,-185.9345149752435,-185.9345149752435,-185.9345149752435,-338.300172362631,-338.300172362631,-338.300172362631,152.36565738738747,152.36565738738747,152.36565738738747,0.0,0.0,0.0,247.83973257455054
2017-06-26,433.79375232469096,538.747523772531,927.3984418949876,433.79375232469096,433.79375232469096,297.02705598330573,297.02705598330573,297.02705598330573,137.16212051010314,137.16212051010314,137.16212051010314,159.86493547320256,159.86493547320256,159.86493547320256,0.0,0.0,0.0,730.8208083079967
2017-06-27,433.81325709958793,518.707181240192,896.7719046432595,433.81325709958793,433.81325709958793,268.0960371487605,268.0960371487605,268.0960371487605,100.95735954840829,100.95735954840829,100.95735954840829,167.1386776003522,167.1386776003522,167.1386776003522,0.0,0.0,0.0,701.9092942483485
2017-06-28,433.8327618744849,495.8649808229768,882.0870019078906,433.8327618744849,433.8327618744849,253.42754108899518,253.42754108899518,253.42754108899518,79.28833281408933,79.28833281408933,79.28833281408933,174.13920827490583,174.13920827490583,174.13920827490583,0.0,0.0,0.0,687.2603029634801
2017-06-29,433.85226664938193,462.2291275583292,831.0801591448304,433.85226664938193,433.85226664938193,208.6811973589175,208.6811973589175,208.6811973589175,27.862117030873545,27.862117030873545,27.862117030873545,180.81908032804395,180.81908032804395,180.81908032804395,0.0,0.0,0.0,642.5334640082995
2017-06-30,433.8717714242789,440.5056878317301,831.2574707231186,433.8717714242789,433.8717714242789,202.7127963747035,202.7127963747035,202.7127963747035,15.580868309935541,15.580868309935541,15.580868309935541,187.13192806476795,187.13192806476795,187.13192806476795,0.0,0.0,0.0,636.5845677989823
2017-07-01,433.8912761991759,416.87822524728085,786.9554463940734,433.8912761991759,433.8912761991759,170.48267631241825,170.48267631241825,170.48267631241825,-22.550625849069387,-22.550625849069387,-22.550625849069387,193.03330216148765,193.03330216148765,193.03330216148765,0.0,0.0,0.0,604.3739525115941
2017-07-02,433.9107809740728,101.71168845509278,487.4543628537304,433.9107809740728,433.9107809740728,-139.81870738476783,-139.81870738476783,-139.81870738476783,-338.3001723626746,-338.3001723626746,-338.3001723626746,198.48146497790677,198.48146497790677,198.48146497790677,0.0,0.0,0.0,294.09207358930496
2017-07-03,433.9302857489698,571.3613310263893,967.505034851667,433.9302857489698,433.9302857489698,340.60024696458044,340.60024696458044,340.60024696458044,137.16212050990438,137.16212050990438,137.16212050990438,203.43812645467605,203.43812645467605,203.43812645467605,0.0,0.0,0.0,774.5305327135502
2017-07-04,433.9497905238668,558.1190050215389,936.8871905620878,433.9497905238668,433.9497905238668,308.82646238125886,308.82646238125886,308.82646238125886,100.95735954850747,100.95735954850747,100.95735954850747,207.8691028327513,207.8691028327513,207.8691028327513,0.0,0.0,0.0,742.7762529051256
2017-07-05,433.96929529876377,530.917107886924,898.7954394273202,433.96929529876377,433.96929529876377,291.033215793546,291.033215793546,291.033215793546,79.28833281457783,79.28833281457783,79.28833281457783,211.74488297896815,211.74488297896815,211.74488297896815,0.0,0.0,0.0,725.0025110923098
2017-07-06,433.9888000736608,490.1306272128413,860.5175723249647,433.9888000736608,433.9888000736608,242.90320707949115,242.90320707949115,242.90320707949115,27.86211703030597,27.86211703030597,27.86211703030597,215.0410900491852,215.0410900491852,215.0410900491852,0.0,0.0,0.0,676.892007153152
2017-07-07,434.00830484855777,472.51912492519983,855.4800206112208,434.00830484855777,434.00830484855777,233.31969777667499,233.31969777667499,233.31969777667499,15.580868309258108,15.580868309258108,15.580868309258108,217.73882946741688,217.73882946741688,217.73882946741688,0.0,0.0,0.0,667.3280026252328
2017-07-08,434.0278096234547,446.06315298865167,822.4362097511215,434.0278096234547,434.0278096234547,197.27429179107776,197.27429179107776,197.27429179107776,-22.55062584909503,-22.55062584909503,-22.55062584909503,219.8249176401728,219.8249176401728,219.8249176401728,0.0,0.0,0.0,631.3021014145324
2017-07-09,434.04731439835166,129.48568484706178,509.6503340562239,434.04731439835166,434.04731439835166,-117.0081830120328,-117.0081830120328,-117.0081830120328,-338.3001723626265,-338.3001723626265,-338.3001723626265,221.29198935059367,221.29198935059367,221.29198935059367,0.0,0.0,0.0,317.03913138631884
2017-07-10,434.0668191732487,613.9741492063476,972.8776621678325,434.0668191732487,434.0668191732487,359.30060578538126,359.30060578538126,359.30060578538126,137.16212050981653,137.16212050981653,137.16212050981653,222.13848527556473,222.13848527556473,222.13848527556473,0.0,0.0,0.0,793.36742495863
2017-07-11,434.08632394814566,561.904286850763,946.1471843008925,434.08632394814566,434.08632394814566,323.32588398085943,323.32588398085943,323.32588398085943,100.95735954860669,100.95735954860669,100.95735954860669,222.36852443225268,222.36852443225268,222.36852443225268,0.0,0.0,0.0,757.412207929005
