ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-08-01,1218.672029482143,219.1368149073251,2265.361488927873,1218.672029482143,1218.672029482143,23.06605006678407,23.06605006678407,23.06605006678407,26.330921609493227,26.330921609493227,26.330921609493227,-3.264871542709159,-3.264871542709159,-3.264871542709159,0.0,0.0,0.0,1241.738079548927
2017-08-02,1219.7049715714286,250.54077693005326,2326.7766280528317,1219.7049715714286,1219.7049715714286,7.698829448273979,7.698829448273979,7.698829448273979,-3.876939131703679,-3.876939131703679,-3.876939131703679,11.575768579977657,11.575768579977657,11.575768579977657,0.0,0.0,0.0,1227.4038010197025
2017-08-03,1220.7379136607142,182.36197119665212,2278.535507024749,1220.7379136607142,1220.7379136607142,17.644083066650396,17.644083066650396,17.644083066650396,-8.224522559965033,-8.224522559965033,-8.224522559965033,25.86860562661543,25.86860562661543,25.86860562661543,0.0,0.0,0.0,1238.3819967273646
2017-08-04,1221.77085575,200.53703748594802,2233.070138251034,1221.77085575,1221.77085575,20.9876813713782,20.9876813713782,20.9876813713782,-18.30333120599615,-18.30333120599615,-18.30333120599615,39.29101257737435,39.29101257737435,39.29101257737435,0.0,0.0,0.0,1242.7585371213781
2017-08-05,1222.8037978392858,202.95346038920138,2259.5489079403073,1222.8037978392858,1222.8037978392858,27.173639979521727,27.173639979521727,27.173639979521727,-24.373279191552438,-24.373279191552438,-24.373279191552438,51.546919171074165,51.546919171074165,51.546919171074165,0.0,0.0,0.0,1249.9774378188076
2017-08-06,1223.8367399285714,324.2482062885404,2319.333795367678,1223.8367399285714,1223.8367399285714,50.559106494587624,50.559106494587624,50.559106494587624,-11.815558835571903,-11.815558835571903,-11.815558835571903,62.37466533015953,62.37466533015953,62.37466533015953,0.0,0.0,0.0,1274.3958464231591
2017-08-07,1224.869682017857,394.13735540074424,2381.289948770513,1224.869682017857,1224.869682017857,111.81671187726272,111.81671187726272,111.81671187726272,40.26270931533673,40.26270931533673,40.26270931533673,71.55400256192598,71.55400256192598,71.55400256192598,0.0,0.0,0.0,1336.6863938951196
2017-08-08,1225.9026241071429,263.0091156969061,2351.2026334206753,1225.9026241071429,1225.9026241071429,105.24298522662949,105.24298522662949,105.24298522662949,26.33092160944349,26.33092160944349,26.33092160944349,78.91206361718599,78.91206361718599,78.91206361718599,0.0,0.0,0.0,1331.1456093337724
2017-08-09,1226.9355661964287,308.8196185072656,2331.4658235815577,1226.9355661964287,1226.9355661964287,80.45120690114678,80.45120690114678,80.45120690114678,-3.876939131683837,-3.876939131683837,-3.876939131683837,84.32814603283062,84.32814603283062,84.32814603283062,0.0,0.0,0.0,1307.3867730975755
2017-08-10,1227.9685082857143,290.77995409679573,2373.7103349148283,1227.9685082857143,1227.9685082857143,79.51266200095752,79.51266200095752,79.51266200095752,-8.224522559990312,-8.224522559990312,-8.224522559990312,87.73718456094782,87.73718456094782,87.73718456094782,0.0,0.0,0.0,1307.4811702866718
